subject,predicate,object
Abamectin,has_brand,Bayer Hextar Syngenta
Abamectin,has_brand,ACM
Abamectin,has_brand,ZEENEX
Abamectin,has_brand,Bendosen
Abamectin,has_brand,Pharmaniaga
Abamectin,has_brand,BASF
Abamectin,has_brand,Eiko
Abamectin,has_brand,ABC
Abamectin,has_brand,Rainbow
Abamectin,has_brand,mekitor
Abamectin,has_brand,IMASPRO
Abamectin,has_brand,Lovinland
Abamectin,has_brand,PB SOLAR
Abamectin,has_brand,LAUNCH
Abamectin,has_brand,Meditech lab
Abamectin,has_brand,Reddog
Abamectin,has_brand,D.I.Y
Abamectin,has_brand,Jacko
Ammoniated soap of fatty acids,has_brand,Bar Soap
Ammoniated soap of fatty acids,has_brand,Greases & Lubricants
Ammoniated soap of fatty acids,has_brand,Facial Cleansers
Ammoniated soap of fatty acids,has_brand,Body Wash
Ammoniated soap of fatty acids,has_brand,Facial Oils
Ammoniated soap of fatty acids,has_brand,Liquid Detergent
Ammoniated soap of fatty acids,has_brand,Essential Oil
Ammoniated soap of fatty acids,has_brand,Soap Dishes
Ammonium Nonanoate,has_brand,not sold here
Azadirachtin,has_brand,Weeds & Pest Control
Azadirachtin,has_brand,Liquid Lipsticks
Azadirachtin,has_brand,Concealer
Azadirachtin,has_brand,Multivitamins
Azadirachtin,has_brand,Nail Art & Stickers
Azadirachtin,has_brand,Soother Accessories
Azadirachtin,has_brand,Insect Repellent
Azadirachtin,has_brand,Bath & Body Accessories
Bacillus sphaericus,has_brand,not sold here
Bacillus thuringiensis var. aizawai,has_brand,not sold here
Bacillus thuringiensis var. israelensis,has_brand,not sold here
Bacillus thuringiensis var. kurstaki,has_brand,not sold here
Beauveria bassiana,has_brand,Weeds & Pest Control
Beauveria bassiana,has_brand,Garden Soil & Fertilizers
Beauveria bassiana,has_brand,"Plants, Seeds, & Bulbs"
Beauveria bassiana,has_brand,Health Accessories
Beauveria bassiana,has_brand,Injury Support and Braces
Beauveria bassiana,has_brand,Appetite Suppressant
Beauveria bassiana,has_brand,Pulse Oximeters
Beauveria bassiana,has_brand,Scale & Body Fat Analyzers
Beauveria bassiana Strain ANT 03,has_brand,not sold here
Beauveria bassiana Strain GHA,has_brand,not sold here
Boric Acid,has_brand,Take It Global
Boric Acid,has_brand,ARS
Boric Acid,has_brand,China OEM
Boric Acid,has_brand,Yuerlian
Burkholderia spp. strain A396,has_brand,not sold here
Calcium polysulfide,has_brand,not sold here
Canola oil,has_brand,Naturel
Canola oil,has_brand,PureOli
Canola oil,has_brand,SaFOLi
Canola oil,has_brand,Heng's Mazola
Canola oil,has_brand,Cargill
Chromobacterium subtsugae strain PRAA4-1 T,has_brand,not sold here
Chromobacterium subtsugae strain PRAA4-1T,has_brand,not sold here
Cinnamon Oil,has_brand,Green Herbology
Cinnamon Oil,has_brand,Now Foods
Cinnamon Oil,has_brand,PHATOIL
Cinnamon Oil,has_brand,BF1 Soul
Clove Oil,has_brand,Dabur
Clove Oil,has_brand,Now Foods
Clove Oil,has_brand,FUTURE FOOD
Clove Oil,has_brand,BF1 Soul
Clove Oil,has_brand,HURIX'S
Clove Oil,has_brand,Green Herbology
Clove Oil,has_brand,OriCeylon
Clove Oil,has_brand,Plant Therapy
Clove Oil,has_brand,HiQiLi
Diatomaceous Earth,has_brand,AGROSTAR
Diatomaceous Earth,has_brand,Pest Control In a Box
Diatomaceous Earth,has_brand,Pest Exchange
Diatomaceous Earth,has_brand,Take It Global
Diatomaceous Earth,has_brand,SAVETRONICS
Dinotefuran,has_brand,Halex
Dinotefuran,has_brand,ABK
