subject,predicate,object
Cockroach,has_insecticide,Pyrethrins
Cockroach,has_insecticide,Diatomaceous Earth
Cockroach,has_insecticide,Silicon Dioxide
Cockroach,has_insecticide,Rosemary Oil
Cockroach,has_insecticide,Abamectin Bait
Cockroach,has_insecticide,Boric Acid
Mosquito,has_insecticide,Azadirachtin
Mosquito,has_insecticide,Bacillus thuringiensis var. israelensis
Mosquito,has_insecticide,Garlic Extract
Mosquito,has_insecticide,Spinosad
Mosquito,has_insecticide,Pyrethrins
Mosquito,has_insecticide,Bacillus sphaericus
Ant,has_insecticide,Abamectin
Ant,has_insecticide,Dinotefuran
Ant,has_insecticide,Azadirachtin
Ant,has_insecticide,Spinosad
Ant,has_insecticide,Boric Acid
Ant,has_insecticide,Pyrethrins
Ant,has_insecticide,Diatomaceous Earth
Ant,has_insecticide,Silicon Dioxide
Ant,has_insecticide,Rosemary Oil
Ant,has_insecticide,Garlic Extract
Ant,has_insecticide,Disodium Octaborate Tetrahydrate
Ant,has_insecticide,Sodium Tetraborate Decahydrate
Ant,has_insecticide,Heterorhabditis bacteriophora
Ant,has_insecticide,Sodium Borate
Termite,has_insecticide,Azadirachtin
Termite,has_insecticide,Disodium Octaborate Tetrahydrate
Termite,has_insecticide,Boric Acid
Termite,has_insecticide,Rosemary Oil
Termite,has_insecticide,Heterorhabditis bacteriophora
Termite,has_insecticide,Steinernema carpocapsae
Housefly,has_insecticide,Azadirachtin
Housefly,has_insecticide,Dinotefuran
Housefly,has_insecticide,Pyrethrins
Fruit fly,has_insecticide,Azadirachtin
Fruit fly,has_insecticide,Pyrethrins
Fruit fly,has_insecticide,Diatomaceous Earth
Fruit fly,has_insecticide,Silicon Dioxide
Fruit fly,has_insecticide,Spinosad
Fruit fly,has_insecticide,Fats and Glyceridic Oils of Margosa
Fruit fly,has_insecticide,Sulfur
Fruit fly,has_insecticide,Rosemary Oil
Fruit fly,has_insecticide,Garlic Extract
Fruit fly,has_insecticide,Chromobacterium subtsugae strain PRAA4-1T
Fruit fly,has_insecticide,Heterorhabditis bacteriophora
Fruit fly,has_insecticide,Kaolin
Silverfish,has_insecticide,Boric Acid
Silverfish,has_insecticide,Pyrethrins
Silverfish,has_insecticide,Diatomaceous Earth
Silverfish,has_insecticide,Silicon Dioxide
Silverfish,has_insecticide,Rosemary Oil
Silverfish,has_insecticide,Abamectin Bait
Carpet beetle,has_insecticide,Pyrethrins
Carpet beetle,has_insecticide,Diatomaceous Earth
Carpet beetle,has_insecticide,Silicon Dioxide
Bed bug,has_insecticide,Dinotefuran
Bed bug,has_insecticide,Pyrethrins
Bed bug,has_insecticide,Diatomaceous Earth
Bed bug,has_insecticide,Silicon Dioxide
Flea,has_insecticide,Dinotefuran
Flea,has_insecticide,Garlic Extract
Flea,has_insecticide,Diatomaceous Earth
Flea,has_insecticide,Silicon Dioxide
Flea,has_insecticide,Spinosad
Flea,has_insecticide,Pyrethrins
Flea,has_insecticide,Rosemary Oil
Flea,has_insecticide,Steinernema carpocapsae
Flea,has_insecticide,Heterorhabditis bacteriophora
Moth,has_insecticide,Azadirachtin
Moth,has_insecticide,Garlic Extract
Moth,has_insecticide,Pyrethrins
Moth,has_insecticide,Diatomaceous Earth
Moth,has_insecticide,Silicon Dioxide
Moth,has_insecticide,Rosemary Oil
Booklouse,has_insecticide,Diatomaceous Earth
Booklouse,has_insecticide,Silicon Dioxide
Spider,has_insecticide,Dinotefuran
